,review_10,review_9or10,review_scores_value,superhost,host_days,host_days,response_rate,host_listings_count,host_verifications,host_pic,id_verified,neighbourhood_cleansed,borough,property_type,room_type,accommodates,bathrooms,bedrooms,beds,real_bed,amenities,price,sec_dep,cleaning_fee,extra_people,guests_included,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,business_travel_ready,cancellation_policy,lat,lon,galleries,rats
56,1,1,10,0,1112.0,1112.0,100,2.0,3,1,0,Harlem,Manhattan,Apartment,Entire home/apt,6,1.0,2.0,3.0,1,31,219,500.0,175.0,20,4,4,90,6,0,0,moderate,40.814,-73.94606,4,8624
57,0,1,9,1,2025.0,2025.0,100,6.0,7,1,0,Bushwick,Brooklyn,Townhouse,Private room,2,2.5,1.0,2.0,1,1,0,0.0,20.0,10,1,2,1125,16,0,0,flexible,40.69467,-73.92433,3,22526
58,1,1,10,1,2191.0,2191.0,100,1.0,5,1,0,Upper East Side,Manhattan,Apartment,Private room,1,1.0,1.0,1.0,1,39,85,1000.0,50.0,50,1,2,150,13,0,0,moderate,40.76834,-73.95647,125,1492
59,1,1,10,0,2668.0,2668.0,100,1.0,5,1,1,Fort Greene,Brooklyn,Apartment,Private room,1,1.0,1.0,1.0,1,24,69,0.0,30.0,25,1,4,30,8,0,0,flexible,40.68867,-73.97192,2,8703
60,1,1,10,0,1353.0,1353.0,99,159.0,5,1,1,Midtown,Manhattan,Hotel,Hotel room,4,1.0,0.0,2.0,1,32,198,100.0,99.0,0,1,2,1125,13,1,0,strict_14_with_grace_period,40.75172,-73.97212,8,332
61,0,0,8,0,1206.0,1206.0,100,3.0,7,1,0,East Village,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,13,95,200.0,40.0,30,1,2,28,28,0,0,strict_14_with_grace_period,40.72727,-73.98801,19,6868
62,1,1,10,0,1693.0,1693.0,100,1.0,4,1,1,Hell's Kitchen,Manhattan,Apartment,Entire home/apt,3,1.0,1.0,1.0,1,29,250,500.0,0.0,50,3,3,30,18,0,0,moderate,40.76773,-73.98342,49,2613
63,1,1,10,0,1859.0,1859.0,100,2.0,7,1,0,Forest Hills,Queens,Guest suite,Private room,3,1.0,1.0,3.0,1,17,99,250.0,50.0,0,1,1,30,3,0,0,strict_14_with_grace_period,40.71645,-73.85035,2,935
64,0,1,9,0,883.0,883.0,100,3.0,8,1,0,East Harlem,Manhattan,Condominium,Entire home/apt,4,1.5,2.0,2.0,1,39,325,0.0,175.0,25,5,6,1125,20,1,0,strict_14_with_grace_period,40.79674,-73.94674,3,9588
65,0,1,9,0,1427.0,1427.0,100,19.0,8,1,0,Williamsburg,Brooklyn,Apartment,Entire home/apt,2,1.0,0.0,1.0,1,24,139,200.0,25.0,0,1,1,190,133,0,0,strict_14_with_grace_period,40.70834,-73.94717,1,16550
66,0,1,9,0,1915.0,1915.0,100,3.0,4,1,1,Williamsburg,Brooklyn,Apartment,Private room,2,1.0,1.0,1.0,1,19,90,100.0,65.0,0,1,4,1125,3,1,0,strict_14_with_grace_period,40.70682,-73.94594,1,16550
67,1,1,10,0,2144.0,2144.0,100,2.0,7,1,1,Morningside Heights,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,24,55,0.0,100.0,30,1,14,1125,3,0,0,strict_14_with_grace_period,40.80731,-73.96579,4,10087
68,0,1,9,1,2366.0,2366.0,100,1.0,8,1,0,Fort Greene,Brooklyn,Apartment,Entire home/apt,4,1.0,1.0,1.0,1,32,275,350.0,100.0,25,2,2,28,78,0,0,strict_14_with_grace_period,40.68481,-73.9694,1,9933
69,1,1,10,1,911.0,911.0,50,1.0,6,1,0,East Harlem,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,32,79,150.0,35.0,50,2,1,1125,69,1,0,moderate,40.792,-73.94522,3,9588
70,1,1,10,1,838.0,838.0,100,2.0,2,1,0,Washington Heights,Manhattan,Apartment,Private room,1,1.0,1.0,1.0,1,10,75,0.0,0.0,0,1,3,30,18,1,0,strict_14_with_grace_period,40.84617,-73.93781,1,6342
71,0,1,9,1,838.0,838.0,100,1.0,3,1,0,Prospect Heights,Brooklyn,Townhouse,Entire home/apt,3,1.0,1.0,1.0,1,43,105,200.0,75.0,30,2,2,1125,83,1,0,moderate,40.68048,-73.9654,1,9933
